岂 O
不 O
闻 O
冰 B
炭 I
不 I
同 I
炉 I
， O
也 O
似 O
咱 O
贤 O
愚 O
不 O
并 O
居 O
。 O

休 O
把 O
我 O
衣 O
服 O
扯 O
住 O
， O
情 O
知 O
咱 O
冰 B
炭 I
不 I
同 I
炉 I
。 O

你 O
道 O
他 O
是 O
高 O
悬 O
明 B
镜 I
， O
南 O
衙 O
内 O
拼 O
的 O
个 O
诉 O
根 O
由 O
， O
直 O
把 O
冤 O
情 O
洗 O
。 O

大 O
人 O
你 O
明 B
如 I
镜 I
， O
清 O
似 O
水 O
， O
照 O
妾 O
身 O
肝 O
胆 O
虚 O
实 O
。 O

他 O
清 O
耿 O
耿 O
水 O
一 O
似 O
， O
明 B
朗 I
朗 I
镜 I
不 O
如 O
。 O

您 O
揣 O
明 B
镜 I
悬 O
秋 O
月 O
， O
照 O
肝 O
胆 O
察 O
实 O
虚 O
， O
与 O
俺 O
那 O
平 O
人 O
每 O
好 O
生 O
做 O
主 O
。 O

俺 O
倒 O
不 O
如 O
郭 O
巨 O
埋 O
儿 O
， O
也 O
强 O
似 O
明 B
达 I
卖 I
子 I
。 O

暗 B
投 I
珠 I
， O
叹 O
无 O
鱼 O
， O
十 O
年 O
窗 O
下 O
万 O
言 O
书 O
。 O

石 O
将 O
军 O
百 O
斛 O
明 B
珠 I
， O
几 O
日 O
欢 O
云 O
娱 O
雨 O
。 O

无 O
愁 O
梦 O
断 O
， O
明 B
月 I
西 I
沉 I
。 O

人 O
老 O
去 O
西 O
风 O
白 O
发 O
， O
蝶 O
愁 O
来 O
明 B
日 I
黄 I
花 I
。 O

雁 O
北 O
飞 O
， O
人 O
北 O
望 O
， O
抛 O
闪 O
煞 O
明 B
妃 I
也 O
汉 O
君 O
王 O
。 O

入 O
阙 O
朝 O
京 O
， O
攀 B
龙 I
附 I
凤 I
， O
和 O
鼎 O
调 O
羹 O
， O
论 O
道 O
兴 O
邦 O
。 O

攀 B
龙 I
鳞 I
， I
附 I
凤 I
翼 O
， O
显 O
五 O
陵 O
豪 O
气 O
， O
吐 O
万 O
丈 O
虹 O
霓 O
。 O

谁 O
待 O
要 O
老 O
去 O
攀 B
龙 I
， O
则 O
不 O
如 O
闲 O
来 O
卧 O
云 O
。 O

近 O
来 O
手 O
下 O
得 O
一 O
员 O
大 O
将 O
， O
姓 O
葛 O
名 O
苏 O
文 O
， O
官 O
封 O
摩 B
利 I
支 I
， O
他 O
有 O
万 O
夫 O
不 O
当 O
之 O
勇 O
。 O

非 O
是 O
咱 O
自 O
夸 O
奖 O
， O
她 O
有 O
德 B
言 I
工 I
貌 I
， O
小 O
生 O
有 O
恭 O
俭 O
温 O
良 O
。 O

捧 B
心 I
钓 I
饵 I
， O
尝 O
胆 O
权 O
谋 O
。 O

苎 O
萝 O
西 O
子 O
， O
倾 O
城 O
处 O
， O
妆 O
出 O
捧 B
心 I
娇 O
媚 O
。 O

卧 O
御 O
榻 O
弯 O
的 O
腿 O
疼 O
， O
坐 O
羊 B
皮 I
惯 O
得 O
身 O
轻 O
。 O

恨 O
兴 O
亡 O
怒 B
煞 O
些 O
鸣 O
哇 O
， O
铺 O
锦 O
池 O
埋 O
荒 O
甃 O
， O
流 O
杯 O
亭 O
堆 O
破 O
瓦 O
， O
何 O
处 O
也 O
繁 O
华 O
? O

百 O
尺 O
台 O
， O
堆 O
黄 O
壤 O
， O
弄 B
玉 I
吹 I
箫 I
送 I
萧 I
郎 O
。 O

喜 O
逢 O
他 O
萧 O
史 B
， I
愧 I
非 I
弄 I
玉 O
。 O

我 O
赶 O
不 O
上 O
庞 B
居 I
士 I
海 I
内 I
沉 I
舟 I
， O
晋 O
孙 O
登 O
苏 O
门 O
长 O
啸 O
。 O

我 O
遇 O
着 O
庞 B
居 I
士 I
与 O
了 O
二 O
百 O
青 O
蚨 O
， O
合 O
着 O
孟 O
尝 O
君 O
养 O
三 O
千 O
剑 O
客 O
。 O

唱 O
- O
怎 O
不 O
学 O
庞 B
居 I
士 I
豫 I
放 I
来 I
生 I
债 I
? O

爱 O
庞 B
公 I
不 O
入 O
城 O
阃 O
， O
喜 O
陈 O
抟 O
高 O
卧 O
云 O
烟 O
。 O

白 O
云 O
外 O
庞 B
居 O
士 O
家 O
， O
锦 O
池 O
中 O
优 O
钵 O
罗 O
华 O
。 O

展 O
放 O
征 O
旗 O
任 O
谁 O
走 O
， O
庙 B
算 I
神 O
计 O
必 O
应 O
口 O
。 O

他 O
貌 O
如 O
潘 O
岳 O
， O
富 O
比 O
石 O
崇 O
， O
德 B
并 I
颜 I
渊 I
。 O

花 O
奴 O
将 O
羯 O
鼓 O
催 O
， O
宁 B
王 I
把 I
玉 I
笛 I
吹 O
。 O
- O
佚 O
名 O
〔 O
双 O
调 O
· O
沽 O
美 O
酒 O
过 O
太 O
平 O
令 O
〕 O
- O
小 O
令 O
描 O
写 O
唐 O
玄 O
宗 O
宫 O
中 O
行 O
乐 O
的 O
情 O
景 O
。 O
② O
贤 O
王 O
玉 O
笛 O
， O
花 O
奴 O
羯 O
鼓 O
， O
韵 O
美 O
声 O
繁 O
。 O

种 O
春 O
风 O
郑 O
子 O
田 O
， O
牧 O
青 O
山 O
宁 B
戚 I
牛 I
。 O

休 O
听 O
宁 B
戚 I
歌 O
， O
学 O
会 O
陈 O
抟 O
卧 O
。 O

冯 O
驩 O
弹 O
铗 O
知 O
名 O
， O
宁 B
戚 I
扣 O
角 O
歌 O
声 O
。 O

便 O
有 O
那 O
韩 O
退 O
之 O
蓝 O
关 O
前 O
冷 O
怎 O
当 O
? O
便 O
有 O
那 O
孟 B
浩 I
然 I
驴 I
背 O
上 O
也 O
跌 O
下 O
来 O
。 O

五 O
梁 O
似 O
吕 O
望 O
兵 O
临 O
孟 B
水 O
， O
六 O
梁 O
似 O
吕 O
布 O
遭 O
围 O
下 O
邳 O
。 O

姜 O
太 O
公 O
八 O
十 O
岁 O
遇 O
文 O
王 O
， O
戊 O
午 O
日 O
兵 O
临 O
孟 B
水 O
。 O

戊 O
午 O
日 O
孟 B
津 I
师 O
度 O
， O
甲 O
子 O
日 O
牧 O
野 O
交 O
兵 O
， O
彼 O
纣 O
王 O
火 O
中 O
燔 O
死 O
， O
妲 O
己 O
氏 O
剑 O
下 O
丧 O
生 O
。 O

孟 B
母 I
， I
丧 I
夫 I
， I
教 I
子 I
迁 I
离 O
墓 O
; O
再 O
迁 O
市 O
井 O
厌 O
屠 O
沽 O
， O
迁 O
傍 O
芹 O
宫 O
住 O
。 O
如 O
此 O
三 O
迁 O
， O
房 O
钱 O
无 O
数 O
， O
方 O
成 O
一 O
大 O
儒 O
。 O
- O
薛 O
昂 O
夫 O
〔 O
中 O
吕 O
· O
朝 O
天 O
曲 O
〕 O
- O
小 O
令 O
咏 O
孟 O
母 O
三 O
迁 O
事 O
， O
但 O
流 O
露 O
出 O
不 O
以 O
为 O
然 O
的 O
情 O
绪 O
。 O
② O
哎 O
， O
你 O
个 O
择 O
邻 O
的 O
孟 O
母 O
， O
休 O
打 O
这 O
刻 O
木 O
的 O
丁 O
兰 O
。 O

合 O
着 O
俺 O
三 B
移 I
的 I
孟 I
母 O
， O
应 O
对 O
不 O
尘 O
俗 O
。 O

我 O
便 O
似 O
八 O
烈 O
周 O
公 O
， O
俺 O
夫 O
人 O
似 O
三 B
移 I
孟 I
母 O
。 O

为 O
甚 O
我 O
教 O
你 O
看 O
诗 O
书 O
， O
习 O
经 O
史 O
? O
俺 O
待 O
学 O
孟 B
母 I
三 I
移 O
教 O
子 O
。 O

人 O
都 O
说 O
孟 B
母 I
三 I
移 O
， O
今 O
日 O
个 O
陈 O
婆 O
婆 O
更 O
增 O
十 O
倍 O
， O
教 O
儿 O
孙 O
读 O
孔 O
圣 O
文 O
籍 O
。 O

离 O
家 O
一 O
月 O
， O
闲 O
居 O
客 O
舍 O
， O
孟 B
尝 I
君 I
不 I
费 I
黄 I
齑 I
社 I
。 O

自 O
无 O
了 O
田 O
孟 B
尝 I
， I
有 I
谁 I
人 I
养 I
剑 I
客 I
? O

您 O
孩 O
儿 O
也 O
仿 O
两 O
个 O
古 O
人 O
， O
学 O
那 O
孟 B
尝 I
君 I
三 I
千 I
食 I
客 I
， O
公 O
孙 O
弘 O
东 O
阁 O
招 O
贤 O
哩 O
。 O

娥 O
皇 O
泪 O
君 O
空 O
洒 O
， O
孟 B
宗 I
笋 O
谁 O
能 O
够 O
? O

卧 O
冰 O
泣 O
竹 B
真 O
堪 O
并 O
， O
他 O
们 O
都 O
感 O
天 O
地 O
， O
登 O
台 O
省 O
。 O

志 O
高 O
如 O
鲁 O
连 O
， O
德 B
过 I
如 I
闵 I
骞 I
， O
依 O
本 O
分 O
只 O
落 O
的 O
人 O
轻 O
贱 O
。 O

恰 O
便 O
似 O
孟 B
姜 I
女 I
送 I
寒 I
衣 I
， O
谁 O
曾 O
受 O
这 O
般 O
苦 O
。 O

则 O
待 O
要 O
百 O
年 O
同 O
墓 O
穴 O
， O
那 O
里 O
肯 O
千 O
里 O
送 B
寒 I
衣 I
。 O

那 O
里 O
有 O
奔 O
丧 O
处 O
哭 B
倒 I
长 I
城 I
? O
那 O
里 O
有 O
浣 O
纱 O
时 O
甘 O
投 O
大 O
水 O
? O

你 O
怎 O
不 O
学 O
孟 B
姜 I
女 I
把 I
长 I
城 I
哭 O
倒 O
? O

更 O
做 O
道 O
孟 B
光 I
接 I
了 I
梁 I
鸿 I
案 I
。 O

常 O
则 O
是 O
嫔 O
风 O
作 O
范 O
， O
《 O
女 B
诫 I
》 O
为 O
师 O
。 O

女 B
生 I
外 I
向 I
从 O
来 O
语 O
， O
况 O
已 O
做 O
人 O
妻 O
。 O

自 O
古 O
道 O
女 B
生 I
外 I
向 I
， O
他 O
到 O
门 O
日 O
且 O
休 O
题 O
， O
只 O
着 O
他 O
上 O
坟 O
时 O
自 O
思 O
想 O
。 O

试 O
墨 B
临 I
池 I
， O
荷 O
花 O
十 O
里 O
。 O
清 O
风 O
鉴 O
水 O
， O
明 O
月 O
天 O
衣 O
。 O

可 O
知 O
道 O
笔 O
冢 O
垒 O
垒 O
墨 B
作 I
池 I
， O
名 O
重 O
京 O
畿 O
。 O

也 O
不 O
学 O
墨 B
子 I
回 I
车 I
， O
巢 O
由 O
洗 O
耳 O
， O
河 O
老 O
腾 O
云 O
， O
许 O
子 O
衣 O
褐 O
。 O

不 O
是 O
我 O
节 O
外 O
生 O
枝 O
， O
囊 B
里 I
盛 I
锥 I
。 O
谁 O
着 O
你 O
夺 O
人 O
爱 O
女 O
， O
逞 O
己 O
风 O
流 O
， O
被 O
咱 O
都 O
知 O
。 O

风 O
波 O
几 O
场 O
， O
急 O
疏 O
利 O
锁 B
， I
顿 I
解 I
名 I
缰 O
。 O

到 O
如 O
今 O
做 O
哑 O
妆 O
矬 O
， O
着 O
意 O
来 O
寻 O
安 O
乐 O
窝 O
， O
摆 O
脱 O
了 O
名 B
缰 I
利 I
锁 I
。 O

事 O
冗 O
也 O
辞 O
身 O
涌 O
脱 O
， O
今 O
日 O
个 O
慌 O
顿 O
断 O
名 B
缰 I
利 I
锁 I
。 O

把 O
一 O
枕 O
南 O
柯 O
省 O
悟 O
， O
再 O
休 O
被 O
利 O
锁 B
名 I
缰 O
相 O
缠 O
住 O
。 O

宦 O
海 O
沉 O
身 O
， O
京 O
尘 O
迷 O
目 O
， O
名 B
缰 I
利 I
锁 I
难 O
脱 O
。 O

罢 O
名 B
缰 I
收 I
利 I
锁 I
， O
观 O
两 O
轮 O
日 O
月 O
搬 O
兴 O
废 O
。 O

得 B
鱼 I
后 I
， I
怎 I
忘 I
筌 I
， O
得 O
鱼 O
后 O
， O
怎 O
忘 O
筌 O
! O

感 O
蒙 O
爱 O
怜 O
， O
得 B
鱼 I
后 I
怎 I
忘 I
筌 I
? O

赋 O
西 O
月 O
亭 O
中 O
小 O
词 O
， O
想 O
《 O
南 B
风 I
》 O
殿 O
上 O
联 O
诗 O
。 O

笑 O
谈 O
间 O
汉 O
鼎 O
三 O
分 O
， O
不 O
记 O
得 O
南 B
阳 I
耕 I
雨 O
。 O

且 O
向 O
南 B
溟 I
， O
应 O
笑 O
虚 O
名 O
， O
不 O
负 O
平 O
生 O
。 O

羡 O
孤 O
云 O
易 O
举 O
离 O
南 B
浦 I
， O
无 O
双 O
翼 O
高 O
飞 O
过 O
渭 O
城 O
。 O

西 O
山 O
暮 O
雨 O
暗 O
苍 O
烟 O
， O
南 B
浦 I
春 O
风 O
舣 O
画 O
船 O
， O
水 O
流 O
人 O
去 O
空 O
恋 O
。 O

芳 O
草 O
思 O
南 B
浦 I
， O
行 O
云 O
梦 O
楚 O
阳 O
， O
流 O
水 O
