闻 O
说 O
北 O
风 O
吹 O
面 O
急 O
， O
边 O
上 O
冲 B
梯 I
屡 I
舞 I
。 O

但 O
赢 O
得 O
、 O
靴 B
纹 I
皱 I
面 I
， O
记 O
余 O
戏 O
语 O
。 O

我 O
不 O
与 O
、 O
少 O
年 O
争 O
遇 O
合 O
， O
你 O
莫 O
共 O
、 O
老 O
僧 O
争 O
戒 O
腊 O
， O
靴 B
皱 I
面 I
， O
帨 O
垂 O
肩 O
。 O

鸦 B
儿 I
学 I
画 I
犹 O
嫌 O
丑 O
， O
佯 O
羞 O
步 O
步 O
随 O
娘 O
后 O
。 O

新 O
腔 O
好 O
， O
任 O
伊 O
川 O
看 O
见 O
， O
非 O
亵 B
穹 I
苍 I
。 O

见 O
说 O
海 O
坛 O
沙 O
涨 O
也 O
， O
明 O
年 O
， O
此 O
夜 O
休 B
嗔 I
我 I
近 I
前 I
。 O

归 O
来 O
也 O
， O
是 O
休 B
官 I
令 I
尹 I
， O
有 O
发 O
瞿 O
昙 O
。 O

混 O
并 O
寰 O
宇 O
， O
休 B
牛 I
归 I
马 I
， O
销 O
金 O
偃 O
革 O
， O
蹈 O
咏 O
庆 O
昌 O
期 O
。 O

慈 O
爱 O
浑 O
嗤 O
张 O
傅 O
， O
信 B
义 I
更 I
高 I
吴 I
季 I
， O
别 O
是 O
一 O
襟 O
怀 O
。 O

别 O
来 O
几 O
日 O
， O
信 B
沉 I
鱼 I
鸟 I
， O
情 O
满 O
关 O
山 O
。 O

此 O
地 O
嵩 O
高 O
名 O
里 O
， O
信 B
美 I
元 I
非 I
吾 I
土 I
， O
清 O
梦 O
绕 O
瀍 O
洢 O
  O
。 O

胜 O
概 O
难 O
逢 O
， O
旅 O
怀 O
易 O
动 O
， O
信 B
美 I
非 I
吾 I
土 I
。 O

君 O
记 O
取 O
， O
旧 O
王 O
粲 O
， O
曾 O
言 O
信 B
美 I
非 I
吾 I
土 I
。 O

有 O
信 B
陵 I
家 I
世 I
， O
梁 O
园 O
客 O
右 O
， O
才 O
华 O
高 O
掩 O
， O
沈 O
谢 O
何 O
刘 O
。 O

更 O
约 O
南 O
枝 O
友 O
， O
游 O
遍 O
江 O
南 O
， O
共 O
归 O
三 O
岛 O
扶 B
桑 I
。 O

同 O
队 O
者 O
、 O
多 O
为 O
公 O
与 O
相 O
。 O
广 O
坐 O
里 O
、 O
都 O
无 O
兄 B
与 I
丈 I
。 O

兴 B
方 I
不 I
浅 I
， O
领 O
袖 O
风 O
月 O
过 O
花 O
期 O
。 O

漫 O
写 B
羊 I
裙 I
， O
等 O
新 O
雁 O
来 O
时 O
系 O
著 O
。 O

壮 O
志 O
求 O
伸 O
， O
匈 B
奴 I
未 I
灭 I
， O
早 O
以 O
家 O
为 O
何 O
谓 O
哉 O
。 O

中 O
原 O
事 O
， O
纵 O
匈 B
奴 I
未 I
灭 I
， O
毕 O
竟 O
男 O
儿 O
。 O

凭 O
阑 O
久 O
， O
问 O
匈 B
奴 I
未 I
灭 I
。 O
底 O
事 O
菟 O
裘 O
。 O

寿 O
觞 O
无 O
惜 O
醉 O
流 O
霞 O
。 O
闻 O
说 O
姓 B
名 I
潜 I
护 I
、 I
有 I
笼 I
纱 I
。 O

莫 O
道 O
希 O
声 O
妙 O
寐 O
， O
嶰 B
竹 I
雄 I
鸣 I
合 I
凤 I
， O
九 O
寸 O
律 O
初 O
裁 O
。 O

嶰 B
管 I
变 O
青 O
律 O
， O
帝 O
里 O
阳 O
和 O
新 O
布 O
。 O

北 O
枝 O
畔 O
， O
谁 O
念 O
嶰 B
律 O
犹 O
寒 O
。 O

尧 O
历 O
庆 O
良 O
月 O
， O
嶰 B
管 I
换 O
新 O
冬 O
。 O

去 O
天 O
咫 O
尺 O
， O
下 O
拜 O
再 O
三 O
， O
幸 B
今 I
有 I
母 I
可 I
遗 I
。 O

相 O
逢 O
一 O
笑 O
， O
此 O
心 B
不 I
动 I
， O
须 O
待 O
明 O
年 O
。 O

吊 O
古 O
愁 O
浓 O
， O
怀 O
人 O
日 O
暮 O
， O
一 O
片 O
心 B
从 I
天 I
外 I
归 I
。 O

一 O
杯 O
春 O
露 O
莫 O
留 O
残 O
， O
与 O
郎 O
扶 B
玉 I
山 I
。 O

朅 O
来 O
江 O
海 O
寄 O
余 O
生 O
， O
心 B
兵 I
语 I
阱 I
频 O
奔 O
北 O
。 O

多 O
病 O
心 B
常 I
捧 I
， O
新 O
词 O
字 O
带 O
香 O
。 O

心 B
折 I
。 O
长 O
庚 O
光 O
怒 O
， O
群 O
盗 O
纵 O
横 O
， O
逆 O
胡 O
猖 O
獗 O
。 O

幽 O
梦 O
里 O
， O
传 O
心 B
曲 I
。 O

若 O
个 O
知 O
余 O
懒 O
是 O
真 O
， O
心 B
已 I
如 I
灰 I
冷 O
。 O

凌 O
云 O
气 O
节 O
， O
贯 O
日 O
精 O
忠 O
， O
艰 O
难 O
未 O
许 O
心 B
灰 I
。 O

扶 O
头 O
酒 O
醒 O
炉 O
香 O
炧 O
， O
心 B
绪 I
未 I
全 I
灰 I
。 O

鬓 O
雪 O
心 B
灰 I
， O
十 O
分 O
老 O
懒 O
， O
十 O
分 O
憔 O
悴 O
。 O

休 O
纵 O
心 B
